Date,Region,Property_Type,Bedrooms,Distance_to_CBD_km,Rent_Price
28/02/2024,Wellington,Townhouse,4,10.6,621.0
07/01/2024,AUCKLAND,townhouse,2,4.8,495.68
30/06/2024,Auckland,aprtment,4,7.6,734.6
13/11/2023,auckland,house,2,4.8,645.26
29/11/2024,welling ton,Apartment,2,6.8,504.96
12/01/2023,dunedin,town house,2,7.8,697.53
22/07/2023,Hamilton,House,1,10.0,563.55
09/01/2024,HAMILTON,HOUSE,5,5.7,768.24
03/02/2023,Dunedin,Apartment,1,19.2,572.87
21/07/2024,Hamilton,HOUSE,1,14.7,710.24
14/05/2022,DUNEDIN,HOUSE,2,8.3,528.51
17/03/2022,auckland ,Apartment,4,6.3,604.27
20/02/2024,AUCKLAND,House,3,10.2,744.4
01/05/2022,christchurch,house,3,9.2,888.09
27/03/2023,DUNEDIN,Townhouse,2,7.7,742.48
16/11/2022,Dunedin,,3,10.5,667.43
03/07/2024,christchurch,town house,3,8.0,762.52
23/11/2024,christchurch,HOUSE,4,8.2,673.78
08/07/2024,dunedin,town house,3,17.7,540.75
29/03/2022,WELLINGTON,apartment,2,4.6,452.12
05/03/2023,Auckland,apartment,3,4.2,625.12
07/05/2023,HAMILTON,townhouse,2,1.5,486.84
18/05/2024,Wellington,apartment,2,6.6,
08/03/2023,Dunedin  ,house,3,8.3,737.97
22/09/2024,hamilton,aprtment,1,5.9,429.51
24/10/2024,hamilton,apartment,3,2.6,567.9
07/08/2023,Wellington,house,2,5.5,557.66
21/06/2022,HAMILTON,town house,2,11.3,576.39
18/02/2023,AUCKLAND,HOUSE,3,13.4,633.12
29/08/2024,dunedin,townhouse,3,12.5,785.37
19/06/2022,welling ton,Apartment,1,7.5,464.78
25/02/2024,AUCKLAND,house,3,4.8,850.88
06/06/2023,auckland,Townhouse,2,4.8,572.27
15/08/2024,Auckland,aprtment,3,7.6,590.06
31/05/2022,hamilton,House,1,4.4,548.94
16/02/2023,Wellington,House,1,9.7,711.32
07/08/2024,AUCKLAND,apartment,2,12.6,441.41
01/07/2023,DUNEDIN,Townhouse,3,0.5,562.16
09/04/2024,Dunedin,Townhouse,3,1.4,789.16
18/05/2024,Christchurch,aprtment,2,13.2,559.2
23/12/2023,Christchurch,house,3,4.4,747.62
31/12/2024,dunedin,Townhouse,1,4.5,570.01
15/02/2022,Dunedin,town house,2,10.7,706.4
12/02/2024,Auckland,House,3,9.2,573.08
27/08/2023,Christchurch,aprtment,4,3.9,805.0
13/10/2022,wellington,Apartment,3,10.0,573.16
14/07/2023,dunedin,Townhouse,4,8.8,605.83
27/03/2024,wellington,House,3,11.8,622.8
28/09/2023,Dunedin,Townhouse,3,3.0,563.3
22/08/2023,Christchurch,house,4,2.0,692.25
11/03/2024,Auckland,House,2,2.9,601.26
04/05/2023,Wellington,Apartment,3,0.5,
02/08/2022,christchurch,Townhouse,3,6.7,785.93
31/12/2024,auckland ,townhouse,2,8.3,536.52
24/07/2023,Dunedin  ,HOUSE,2,9.5,599.26
28/08/2023,Dunedin  ,House,1,4.5,647.32
17/04/2022,Christchurch,town house,4,7.3,811.55
04/01/2024,hamilton,aprtment,3,7.5,703.23
31/05/2024,Dunedin  ,townhouse,3,6.8,580.04
22/08/2024,CHRISTCHURCH,aprtment,2,3.3,597.39
27/08/2022,wellington,,1,5.4,410.02
13/03/2022,hamilton,townhouse,2,0.5,713.84
19/03/2022,hamilton,Townhouse,2,5.7,497.37
19/01/2022,Hamilton,town house,3,5.9,551.95
16/04/2022,Wellington,House,3,1.9,925.98
16/03/2022,Hamilton,townhouse,4,21.5,754.37
26/08/2024,auckland,Townhouse,1,2.0,578.92
07/02/2022,Hamilton,,2,3.6,612.4
13/10/2024,Christchurch,aprtment,3,3.5,521.19
21/06/2024,Wellington,aprtment,4,4.9,633.4
23/12/2022,welling ton,House,1,5.0,556.11
11/08/2022,Hamilton,town house,3,7.6,577.43
18/11/2022,CHRISTCHURCH,Townhouse,2,15.1,686.85
